,time,open,high,low,close,tick_volume,spread,real_volume
110,2021-06-07,1.21546,1.2201,1.21442,1.21887,543095,15,81464250000
111,2021-06-08,1.21885,1.21935,1.2163599999999999,1.21722,595359,15,89303850000
112,2021-06-09,1.21722,1.22173,1.21704,1.2179,534930,15,80239500000
113,2021-06-10,1.2179,1.2194099999999999,1.21427,1.21703,605216,15,90782400000
114,2021-06-11,1.21674,1.21923,1.2092,1.21072,601014,13,90152100000
115,2021-06-14,1.21073,1.21298,1.20935,1.2117499999999999,522162,15,78324300000
116,2021-06-15,1.2117499999999999,1.21466,1.21005,1.21257,556773,15,83515950000
117,2021-06-16,1.21252,1.2134,1.19934,1.19937,585985,15,87897750000
118,2021-06-17,1.19937,1.20056,1.1891,1.1907,837027,15,125554050000
119,2021-06-18,1.1907,1.19244,1.18465,1.18631,778913,13,116836950000
120,2021-06-21,1.18555,1.19207,1.1847,1.19171,786439,15,117965850000
121,2021-06-22,1.19171,1.1952,1.18802,1.19382,679934,15,101990100000
122,2021-06-23,1.19382,1.19693,1.19106,1.19249,655100,15,98265000000
123,2021-06-24,1.19249,1.19556,1.19169,1.19311,612561,15,91884150000
124,2021-06-25,1.19311,1.19745,1.19255,1.19341,581389,13,87208350000
125,2021-06-28,1.19331,1.19439,1.19016,1.19256,618832,15,92824800000
126,2021-06-29,1.19256,1.1929400000000001,1.18769,1.18961,623335,15,93500250000
127,2021-06-30,1.18961,1.19083,1.18443,1.18564,646740,15,97011000000
128,2021-07-01,1.18558,1.18835,1.18366,1.18492,611128,14,91669200000
129,2021-07-02,1.18492,1.18736,1.18062,1.18651,520890,13,78133500000
130,2021-07-05,1.18612,1.18799,1.18506,1.18609,422936,15,63440400000
131,2021-07-06,1.18609,1.18943,1.18062,1.18229,652057,15,97808550000
132,2021-07-07,1.18229,1.18353,1.17808,1.17895,633393,15,95008950000
133,2021-07-08,1.17893,1.18671,1.17829,1.18427,772442,15,115866300000
134,2021-07-09,1.18427,1.18804,1.18243,1.18734,641069,13,96160350000
135,2021-07-12,1.1874,1.18795,1.18354,1.18589,600509,15,90076350000
136,2021-07-13,1.18589,1.18744,1.17714,1.17754,633075,15,94961250000
137,2021-07-14,1.17753,1.18381,1.17712,1.18352,672430,15,100864500000
138,2021-07-15,1.18352,1.18498,1.1795499999999999,1.18119,684461,15,102669150000
139,2021-07-16,1.18119,1.18216,1.17915,1.18061,661321,13,99198150000
140,2021-07-19,1.18065,1.18236,1.17628,1.1799,658378,15,98756700000
141,2021-07-20,1.1799,1.18018,1.1755,1.1779,716601,15,107490150000
142,2021-07-21,1.1779,1.1804000000000001,1.1751,1.17893,365877,15,54881550000
143,2021-07-22,1.17893,1.18296,1.17566,1.17697,287736,14,43160400000
144,2021-07-23,1.17698,1.1785700000000001,1.17537,1.17707,229889,13,34483350000
145,2021-07-26,1.17687,1.18165,1.17625,1.18025,257262,15,38589300000
146,2021-07-27,1.18025,1.18404,1.17693,1.1816200000000001,521993,15,78298950000
147,2021-07-28,1.1816200000000001,1.18488,1.17715,1.1843,685431,15,102814650000
148,2021-07-29,1.1843,1.1892,1.18388,1.18862,601796,15,90269400000
149,2021-07-30,1.18864,1.1908,1.18508,1.18713,634004,13,95100600000
150,2021-08-02,1.18643,1.18961,1.18583,1.18673,610666,15,91599900000
151,2021-08-03,1.18679,1.18926,1.18529,1.18627,601704,15,90255600000
152,2021-08-04,1.18627,1.1898900000000001,1.18319,1.18357,605791,15,90868650000
153,2021-08-05,1.18357,1.18565,1.18273,1.18333,592395,15,88859250000
154,2021-08-06,1.18333,1.18349,1.17536,1.17611,591884,13,88782600000
155,2021-08-09,1.17548,1.17682,1.17341,1.17357,605469,15,90820350000
156,2021-08-10,1.17355,1.1742,1.17089,1.17195,578364,15,86754600000
157,2021-08-11,1.17195,1.1753,1.17052,1.1738,533722,16,80058300000
158,2021-08-12,1.17376,1.17475,1.17229,1.1729,507137,16,76070550000
159,2021-08-13,1.1729,1.18038,1.17282,1.17957,524549,13,78682350000
160,2021-08-16,1.1795499999999999,1.18002,1.17666,1.17775,529539,14,79430850000
161,2021-08-17,1.17775,1.1784,1.17071,1.17089,624134,15,93620100000
162,2021-08-18,1.17089,1.17419,1.1693,1.17093,612851,16,91927650000
163,2021-08-19,1.17093,1.17154,1.1665,1.16746,708923,16,106338450000
164,2021-08-20,1.16745,1.17039,1.16634,1.16968,570959,13,85643850000
165,2021-08-23,1.16953,1.17496,1.16846,1.17447,628483,14,94272450000
166,2021-08-24,1.17447,1.17645,1.17265,1.17526,607733,14,91159950000
167,2021-08-25,1.17526,1.1774,1.17254,1.17703,607015,14,91052250000
168,2021-08-26,1.1770100000000001,1.17783,1.17453,1.17509,530419,14,79562850000
169,2021-08-27,1.17509,1.18017,1.17344,1.17942,554322,13,83148300000
170,2021-08-30,1.1793,1.18091,1.17821,1.17959,441630,14,66244500000
171,2021-08-31,1.17959,1.18444,1.17942,1.18084,707363,14,106104450000
172,2021-09-01,1.18084,1.18566,1.1793,1.18383,681938,14,102290700000
173,2021-09-02,1.18383,1.18754,1.18336,1.18742,545593,14,81838950000
174,2021-09-03,1.18742,1.19083,1.18651,1.18836,593793,13,89068950000
175,2021-09-06,1.18775,1.18857,1.18551,1.18692,297434,14,43503000000
176,2021-09-07,1.18692,1.18844,1.18368,1.18384,627510,14,93265200000
177,2021-09-08,1.18384,1.18505,1.1801300000000001,1.18153,686068,14,102910200000
178,2021-09-09,1.18153,1.18405,1.18044,1.1824,689671,14,103450650000
179,2021-09-10,1.1824,1.18505,1.18083,1.1814,609906,13,91485900000
180,2021-09-13,1.1811099999999999,1.18163,1.17694,1.18102,633343,14,95001450000
181,2021-09-14,1.18102,1.18451,1.17994,1.18021,671065,14,100659750000
182,2021-09-15,1.18021,1.18312,1.17984,1.1816200000000001,660189,14,99028350000
183,2021-09-16,1.18159,1.18199,1.17496,1.1763,601200,14,90180000000
184,2021-09-17,1.17632,1.17882,1.17237,1.17243,679291,13,101893650000
185,2021-09-20,1.17289,1.17357,1.16993,1.1724700000000001,670829,16,100624350000
186,2021-09-21,1.1724700000000001,1.17478,1.17141,1.17238,598540,16,89781000000
187,2021-09-22,1.17238,1.17547,1.16834,1.16867,715758,16,107363700000
188,2021-09-23,1.16867,1.17493,1.16826,1.17376,682610,16,102391500000
189,2021-09-24,1.17376,1.17469,1.16998,1.17194,647652,13,97147800000
190,2021-09-27,1.1724,1.17259,1.1684,1.16952,649705,16,97455750000
191,2021-09-28,1.16952,1.17025,1.1667399999999999,1.16822,736258,15,110438700000
192,2021-09-29,1.16822,1.16893,1.15886,1.15967,515702,16,77355300000
193,2021-09-30,1.15967,1.1609,1.15619,1.1580300000000001,733159,16,109645800000
194,2021-10-01,1.1580300000000001,1.16065,1.15621,1.15967,667501,13,100125150000
195,2021-10-04,1.15954,1.16392,1.15857,1.16192,693507,16,104026050000
196,2021-10-05,1.16192,1.1621299999999999,1.15796,1.15968,685920,16,102888000000
197,2021-10-06,1.1596899999999999,1.1605,1.15283,1.15552,778590,16,116788500000
198,2021-10-07,1.15552,1.15712,1.15465,1.15503,666483,16,99972450000
199,2021-10-08,1.15503,1.15851,1.15404,1.15685,698656,13,104798400000
200,2021-10-11,1.15669,1.1586,1.15481,1.155,542141,16,81321150000
201,2021-10-12,1.155,1.15695,1.15236,1.15295,692082,16,103812300000
202,2021-10-13,1.15295,1.15965,1.15269,1.15913,707414,15,106112100000
203,2021-10-14,1.15913,1.16234,1.15831,1.15953,490492,16,73573800000
204,2021-10-15,1.15953,1.1617899999999999,1.15873,1.16007,677848,13,101677200000
205,2021-10-18,1.15912,1.16215,1.15709,1.1609099999999999,704713,16,105706950000
206,2021-10-19,1.1609099999999999,1.16685,1.16076,1.16318,671644,16,100746600000
207,2021-10-20,1.16318,1.16578,1.1616,1.16492,671580,15,100737000000
208,2021-10-21,1.16492,1.16666,1.16189,1.1622,657442,15,98616300000
209,2021-10-22,1.16216,1.1655,1.16204,1.16443,689170,13,103375500000
210,2021-10-25,1.16393,1.16644,1.159,1.1606,646871,13,97030650000
211,2021-10-26,1.16056,1.16251,1.15843,1.15949,615030,13,92254500000
212,2021-10-27,1.15949,1.16254,1.15835,1.16022,712193,13,106828950000
213,2021-10-28,1.16024,1.16914,1.15815,1.16798,754713,13,113206950000
214,2021-10-29,1.16802,1.16894,1.15345,1.15579,770276,13,115541400000
215,2021-11-01,1.15637,1.16084,1.15453,1.16034,689796,13,103469400000
216,2021-11-02,1.16034,1.16127,1.15746,1.15775,647536,13,97130400000
217,2021-11-03,1.15775,1.16155,1.15616,1.1611799999999999,621919,13,93287850000
218,2021-11-04,1.1611799999999999,1.16157,1.15277,1.15527,673189,13,100978350000
219,2021-11-05,1.15527,1.15727,1.15127,1.15667,656609,13,98491350000
220,2021-11-08,1.15589,1.15943,1.15499,1.1586400000000001,556953,13,83542950000
221,2021-11-09,1.1586400000000001,1.16083,1.1569099999999999,1.1592,671356,13,100703400000
222,2021-11-10,1.1592,1.15946,1.14755,1.14782,722190,13,108328500000
223,2021-11-11,1.14782,1.1487,1.14423,1.14494,469964,13,70494600000
224,2021-11-12,1.14494,1.14614,1.14321,1.14422,589400,13,88410000000
225,2021-11-15,1.1446399999999999,1.14632,1.13555,1.13669,631493,14,94723950000
226,2021-11-16,1.13668,1.13849,1.13084,1.13195,693350,14,104002500000
227,2021-11-17,1.13195,1.13314,1.12628,1.13186,702331,14,105349650000
228,2021-11-18,1.13186,1.13734,1.1313,1.13643,660771,14,99115650000
229,2021-11-19,1.13643,1.13721,1.12493,1.12891,726099,13,108914850000
230,2021-11-22,1.12904,1.12904,1.12299,1.12356,693251,14,103987650000
231,2021-11-23,1.12367,1.12743,1.12253,1.12474,693643,14,104046450000
232,2021-11-24,1.1247,1.12545,1.11854,1.11949,615815,14,92372250000
233,2021-11-25,1.11949,1.12289,1.11896,1.12052,341839,14,51275850000
234,2021-11-26,1.12052,1.13311,1.12013,1.13154,779621,13,116943150000
235,2021-11-29,1.1301700000000001,1.13174,1.12576,1.129,750532,14,112579800000
236,2021-11-30,1.12876,1.13821,1.12341,1.13349,649106,14,97365900000
237,2021-12-01,1.13349,1.1359,1.13018,1.13185,774346,14,116151900000
238,2021-12-02,1.13178,1.13469,1.12946,1.13002,724334,14,108650100000
239,2021-12-03,1.13002,1.13328,1.12659,1.13147,772899,13,115934850000
240,2021-12-06,1.1299299999999999,1.13118,1.12657,1.12843,634464,14,95169600000
